longitude,latitude,year,Egregia_menziesii,Eisenia_arborea,Pelvetiopsis_limitata,Phyllospadix_spp,Sargassum_muticum,Silvetia_compressa
-122.23493,37.04425049,2015,0,0,1,1,0,1
-122.15503,36.9801712,2015,0,0,1,1,0,1
-122.06457,36.94841003,2015,0,0,1,0,0,1
-121.94688,36.51366043,2015,0,0,0,0,0,1
-121.94053,36.56087112,2015,0,0,0,1,0,1
-121.9073,36.62120056,2015,0,0,0,1,0,1
-121.86317,36.28060913,2015,0,0,1,1,0,1
-121.49034,35.97964859,2015,1,0,0,1,0,1
-121.31866,35.72882843,2015,1,0,0,1,0,1
-120.94982,35.44739151,2015,0,0,0,1,0,1
-120.88325,35.28966141,2015,0,0,0,0,0,1
-120.69668,35.1688118,2015,1,0,0,1,0,1
-120.63954,34.88122177,2015,0,0,0,0,0,1
-120.61546,34.73038101,2015,0,0,1,1,0,1
-120.61167,34.55387878,2015,0,0,0,0,0,1
-120.45655,34.4433403,2015,1,0,0,1,0,1
-120.27738,34.4671402,2015,0,0,0,1,0,0
-120.1454,34.47343826,2015,0,0,0,1,0,0
-119.87804,34.40692902,2015,0,0,0,1,0,0
-119.51407,34.38703156,2015,1,0,0,1,0,0
-119.44073,34.35548019,2015,0,0,0,1,0,0
-118.99779,34.06612015,2015,1,0,0,0,0,0
-118.79225,34.01200867,2015,0,0,0,1,0,0
-118.31961,33.71538925,2015,0,0,0,0,0,0
-118.28599,33.70679092,2015,1,0,0,1,0,1
-117.83773,33.57078171,2015,1,0,0,1,1,1
-117.79941,33.54476929,2015,0,0,0,0,0,1
-117.75793,33.51335144,2015,0,0,0,0,0,1
-117.71475,33.4598999,2015,0,0,0,0,0,1
-124.40077,43.30894089,2016,1,0,1,1,1,0
-124.38786,42.22814178,2016,0,0,1,1,0,0
-124.36317,40.3409996,2016,0,0,1,0,0,0
-124.27531,47.30255127,2016,0,0,0,1,0,0
-124.14257,41.68999863,2016,0,0,1,0,0,0
-124.12784,41.65248871,2016,0,0,0,1,0,0
-124.11443,44.24456024,2016,0,0,1,1,0,0
-124.10643,41.59476089,2016,0,0,1,0,0,0
-124.07366,40.02254105,2016,0,0,1,0,0,0
-124.05875,44.83863831,2016,1,0,1,1,0,0
-123.98031,45.91809082,2016,0,0,1,1,0,0
-123.78887,39.60411835,2016,1,0,1,1,0,0
-123.48864,38.73049927,2016,0,0,1,0,0,1
-123.07365,38.31819916,2016,0,0,1,0,0,0
-122.23493,37.04425049,2016,0,0,1,1,0,1
-122.15503,36.9801712,2016,0,0,1,1,0,1
-122.06457,36.94841003,2016,0,0,1,0,0,1
-121.94688,36.51366043,2016,0,0,0,0,0,1
-121.94053,36.56087112,2016,1,0,1,1,0,1
-121.9073,36.62120056,2016,1,0,0,1,0,1
-121.86317,36.28060913,2016,0,0,1,1,0,1
-121.49034,35.97964859,2016,1,0,0,1,0,1
-121.31866,35.72882843,2016,1,0,0,1,0,1
-120.94982,35.44739151,2016,0,0,0,1,0,1
-120.88325,35.28966141,2016,0,0,0,0,0,1
-120.69668,35.1688118,2016,1,0,0,1,0,1
-120.63954,34.88122177,2016,0,0,0,0,0,0
-120.61546,34.73038101,2016,0,0,0,1,0,1
-120.61167,34.55387878,2016,0,0,0,0,0,1
-120.45655,34.4433403,2016,1,0,0,1,0,1
-120.27738,34.4671402,2016,1,0,0,1,0,0
-120.1454,34.47343826,2016,0,0,0,1,0,0
-119.87804,34.40692902,2016,0,0,0,1,1,0
-119.51407,34.38703156,2016,0,0,0,1,0,0
-119.44073,34.35548019,2016,0,0,0,1,0,0
-118.99779,34.06612015,2016,0,0,0,0,0,0
-118.79225,34.01200867,2016,1,0,0,1,1,0
-118.31961,33.71538925,2016,0,0,0,0,0,0
-118.28599,33.70679092,2016,0,0,0,1,0,1
-117.83773,33.57078171,2016,0,0,0,1,1,1
-117.79941,33.54476929,2016,0,0,0,0,0,1
-117.75793,33.51335144,2016,0,0,0,0,0,1
-117.71475,33.4598999,2016,0,0,0,0,0,1
-124.40077,43.30894089,2017,1,0,1,1,0,0
-124.27531,47.30255127,2017,0,0,0,1,0,0
-124.12784,41.65248871,2017,0,0,0,1,0,0
-124.11443,44.24456024,2017,1,0,1,1,0,0
-124.10643,41.59476089,2017,0,0,1,0,0,0
-124.05875,44.83863831,2017,1,0,1,1,0,0
-123.98031,45.91809082,2017,0,0,1,1,0,0
-123.48864,38.73049927,2017,0,0,1,0,0,1
-123.07365,38.31819916,2017,0,0,1,0,0,0
-122.23493,37.04425049,2017,1,0,1,1,0,1
-122.15503,36.9801712,2017,0,0,1,1,0,1
-122.06457,36.94841003,2017,0,0,1,0,0,1
-121.94688,36.51366043,2017,0,0,0,0,0,1
-121.94053,36.56087112,2017,0,0,1,1,0,1
-121.9073,36.62120056,2017,1,0,0,1,0,1
-121.86317,36.28060913,2017,0,0,1,1,0,1
-121.49034,35.97964859,2017,1,0,0,1,0,1
-121.31866,35.72882843,2017,0,0,0,1,0,1
-120.94982,35.44739151,2017,0,0,0,1,0,1
-120.88325,35.28966141,2017,0,0,0,0,0,1
-120.69668,35.1688118,2017,1,0,0,1,0,1
-120.63954,34.88122177,2017,1,0,0,0,0,0
-120.61546,34.73038101,2017,0,0,0,1,0,1
-120.61167,34.55387878,2017,0,0,0,0,0,1
-120.45655,34.4433403,2017,0,0,0,0,0,1
-120.27738,34.4671402,2017,1,0,0,1,0,0
-120.1454,34.47343826,2017,0,0,0,1,0,0
-119.87804,34.40692902,2017,0,0,0,1,1,0
-119.51407,34.38703156,2017,0,0,0,1,0,0
-119.44073,34.35548019,2017,0,0,0,1,0,0
-118.99779,34.06612015,2017,1,0,0,0,0,0
-118.79225,34.01200867,2017,1,0,0,1,0,0
-118.31961,33.71538925,2017,0,0,0,0,0,0
-118.28599,33.70679092,2017,1,0,0,1,0,1
-117.83773,33.57078171,2017,1,0,0,1,1,1
-117.79941,33.54476929,2017,0,0,0,0,1,1
-117.75793,33.51335144,2017,0,0,0,0,0,1
-117.71475,33.4598999,2017,0,0,0,0,0,1
-124.40077,43.30894089,2018,1,0,1,1,0,0
-124.36317,40.3409996,2018,0,0,1,0,0,0
-124.27531,47.30255127,2018,0,0,0,1,0,0
-124.14257,41.68999863,2018,0,0,1,0,0,0
-124.12784,41.65248871,2018,0,0,0,1,0,0
-124.11443,44.24456024,2018,1,0,1,1,0,0
-124.10643,41.59476089,2018,0,0,1,0,0,0
-124.07366,40.02254105,2018,0,0,1,0,0,0
-124.05875,44.83863831,2018,1,0,1,1,0,0
-123.98031,45.91809082,2018,0,0,1,1,0,0
-123.78887,39.60411835,2018,1,0,1,1,0,0
-123.48864,38.73049927,2018,0,0,1,0,0,1
-123.07365,38.31819916,2018,0,0,1,0,0,0
-123.00383,37.7011795,2018,0,0,0,0,0,0
-122.99984,37.69809341,2018,0,0,0,0,0,0
-122.23493,37.04425049,2018,0,0,1,1,0,1
-122.15503,36.9801712,2018,1,0,1,1,0,1
-122.06457,36.94841003,2018,0,0,1,0,0,1
-121.94688,36.51366043,2018,0,0,0,0,0,1
-121.94053,36.56087112,2018,1,0,0,1,0,1
-121.9073,36.62120056,2018,0,0,0,1,0,1
-121.86317,36.28060913,2018,0,0,1,1,0,1
-121.49034,35.97964859,2018,1,0,0,1,0,1
-121.31866,35.72882843,2018,0,0,0,1,0,1
-120.94982,35.44739151,2018,0,0,0,1,0,1
-120.88325,35.28966141,2018,0,0,0,0,0,1
-120.69668,35.1688118,2018,0,0,0,1,0,1
-120.63954,34.88122177,2018,1,0,0,0,0,0
-120.61546,34.73038101,2018,0,0,0,1,0,1
-120.61167,34.55387878,2018,0,0,0,0,0,1
-120.45655,34.4433403,2018,0,0,0,1,0,1
-120.27738,34.4671402,2018,1,0,0,1,0,0
-120.1454,34.47343826,2018,0,0,0,1,0,0
-119.87804,34.40692902,2018,1,0,0,1,1,0
-119.51407,34.38703156,2018,0,0,0,1,0,0
-119.44073,34.35548019,2018,1,0,0,1,0,0
-118.99779,34.06612015,2018,1,0,0,0,0,0
-118.79225,34.01200867,2018,1,0,0,1,1,0
-118.31961,33.71538925,2018,0,0,0,0,0,0
-118.28599,33.70679092,2018,1,0,0,1,0,1
-117.83773,33.57078171,2018,1,0,0,1,1,1
-117.79941,33.54476929,2018,0,0,0,0,0,1
-117.75793,33.51335144,2018,0,0,0,0,0,1
-117.71475,33.4598999,2018,0,0,0,0,0,1
-124.40077,43.30894089,2019,1,0,1,1,1,0
-124.38786,42.22814178,2019,0,0,1,1,0,0
-124.36317,40.3409996,2019,0,0,1,0,0,0
-124.27531,47.30255127,2019,0,0,0,1,0,0
-124.14257,41.68999863,2019,0,0,1,0,0,0
-124.12784,41.65248871,2019,0,0,1,0,0,0
-124.11443,44.24456024,2019,1,0,1,1,0,0
-124.10643,41.59476089,2019,0,0,1,0,0,0
-124.05875,44.83863831,2019,1,0,1,1,0,0
-123.98031,45.91809082,2019,0,0,1,1,0,0
-123.78887,39.60411835,2019,0,0,1,0,0,0
-123.48864,38.73049927,2019,0,0,1,0,0,1
-123.07365,38.31819916,2019,0,0,1,0,0,0
