kingdom,phylum,class,sublcass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,taxon_name,description,occurrence_status,establishment_means,adding_user_login,first_observation,last_observation,url,created_at,updated_at,taxon_common_name
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Haplotrematoidea,Haplotrematidae,,,Haplotrema,Haplotrema transfuga,Also in Baja,,native,kueda,https://www.inaturalist.org/observations/4678170,https://www.inaturalist.org/observations/10105232,https://www.inaturalist.org/listed_taxa/6269839,2015-07-05 19:30:56 -1000,2019-02-03 11:40:56 -1000,Striate Lancetooth Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Oleacinoidea,Spiraxidae,Euglandininae,,Euglandina,Euglandina rosea,Native to the southeastern US,,introduced,kueda,,,https://www.inaturalist.org/listed_taxa/6269841,2015-07-05 19:30:57 -1000,2019-12-05 15:13:23 -1000,Rosy Wolfsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Geomitridae,Helicellinae,Cernuellini,Cernuella,Cernuella virgata,Native to western Europe and the Mediterranean,,introduced,kueda,,,https://www.inaturalist.org/listed_taxa/6269843,2015-07-05 19:30:57 -1000,2020-01-02 21:20:54 -1000,Vineyard Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Geomitridae,Geomitrinae,Cochlicellini,Cochlicella,Cochlicella barbara,Native to the Mediterranean,,introduced,kueda,https://www.inaturalist.org/observations/1229972,https://www.inaturalist.org/observations/41628886,https://www.inaturalist.org/listed_taxa/6269845,2015-07-05 19:30:58 -1000,2020-04-07 10:00:00 -1000,Small Pointed Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Geomitridae,Helicellinae,Helicellini,Xerotricha,Xerotricha conspurcata,Native to the Mediterranean,,introduced,kueda,https://www.inaturalist.org/observations/548395,https://www.inaturalist.org/observations/41695351,https://www.inaturalist.org/listed_taxa/6269851,2015-07-05 19:31:00 -1000,2020-04-08 07:34:08 -1000,European Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia circumcarinata,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269855,2015-07-05 19:31:02 -1000,2015-07-05 19:31:02 -1000,Keeled Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia mormonum,,present,endemic,kueda,https://www.inaturalist.org/observations/1362603,https://www.inaturalist.org/observations/33038410,https://www.inaturalist.org/listed_taxa/6269857,2015-07-05 19:31:04 -1000,2019-10-03 17:33:33 -1000,Sierra Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia mormonum buttoni,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269867,2015-07-05 19:31:07 -1000,2015-07-05 19:31:08 -1000,Button's Sierra Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia mormonum hillebrandi,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269869,2015-07-05 19:31:15 -1000,2015-07-05 19:31:15 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia mormonum hirsuta,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269871,2015-07-05 19:31:17 -1000,2015-07-05 19:31:17 -1000,Hirsute Sierra Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia tuolumneana,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269873,2015-07-05 19:31:19 -1000,2015-07-05 19:31:20 -1000,Tuolumne Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia yosemitensis,,,native,kueda,https://www.inaturalist.org/observations/19962532,https://www.inaturalist.org/observations/19962533,https://www.inaturalist.org/listed_taxa/6269875,2015-07-05 19:31:20 -1000,2019-01-30 08:53:07 -1000,Yosemite Mariposa Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia callipeplus,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269879,2015-07-05 19:31:22 -1000,2015-07-05 19:31:22 -1000,Downy Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia chaceana,,,native,kueda,https://www.inaturalist.org/observations/22150113,https://www.inaturalist.org/observations/22150113,https://www.inaturalist.org/listed_taxa/6269881,2015-07-05 19:31:22 -1000,2019-04-10 07:51:47 -1000,Siskiyou Shoulderband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia cristulata,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269883,2015-07-05 19:31:23 -1000,2015-07-05 19:31:23 -1000,Crested Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia fidelis,,,native,kueda,https://www.inaturalist.org/observations/107594,https://www.inaturalist.org/observations/34571814,https://www.inaturalist.org/listed_taxa/6269885,2015-07-05 19:31:24 -1000,2020-04-01 10:48:26 -1000,Pacific Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia fidelis leonina,,,native,kueda,https://www.inaturalist.org/observations/21341964,https://www.inaturalist.org/observations/21341964,https://www.inaturalist.org/listed_taxa/6269888,2015-07-05 19:31:26 -1000,2019-03-18 05:56:08 -1000,Scott Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia fidelis pronotis,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269890,2015-07-05 19:31:27 -1000,2015-07-05 19:31:27 -1000,Rocky Coast Pacific Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia infumata,,,native,kueda,https://www.inaturalist.org/observations/15626,https://www.inaturalist.org/observations/41506345,https://www.inaturalist.org/listed_taxa/6269892,2015-07-05 19:31:28 -1000,2020-04-07 18:23:24 -1000,Redwood Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia infumata infumata,,,native,kueda,https://www.inaturalist.org/observations/3017407,https://www.inaturalist.org/observations/41323829,https://www.inaturalist.org/listed_taxa/6269904,2015-07-05 19:31:38 -1000,2020-04-06 11:18:20 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia infumata ochromphalus,,,native,kueda,https://www.inaturalist.org/observations/8529399,https://www.inaturalist.org/observations/12710362,https://www.inaturalist.org/listed_taxa/6269913,2015-07-05 19:31:41 -1000,2018-05-25 06:49:44 -1000,Yellow-based Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia infumata setosa,,,native,kueda,https://www.inaturalist.org/observations/1341581,https://www.inaturalist.org/observations/28152573,https://www.inaturalist.org/listed_taxa/6269917,2015-07-05 19:31:43 -1000,2019-12-22 11:10:05 -1000,Trinity Bristle Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia infumata subcarinata,,,native,kueda,https://www.inaturalist.org/observations/1441605,https://www.inaturalist.org/observations/41121715,https://www.inaturalist.org/listed_taxa/6269919,2015-07-05 19:31:48 -1000,2020-04-06 10:18:53 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia marmarotis,,,native,kueda,https://www.inaturalist.org/observations/19059247,https://www.inaturalist.org/observations/19059247,https://www.inaturalist.org/listed_taxa/6269922,2015-07-05 19:31:49 -1000,2019-04-12 06:53:43 -1000,Marble Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia churchi,,,native,kueda,https://www.inaturalist.org/observations/1505458,https://www.inaturalist.org/observations/7904348,https://www.inaturalist.org/listed_taxa/6269925,2015-07-05 19:31:51 -1000,2018-05-22 19:22:51 -1000,Church's Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia troglodytes,,,native,kueda,https://www.inaturalist.org/observations/8529050,https://www.inaturalist.org/observations/39757525,https://www.inaturalist.org/listed_taxa/6269933,2015-07-05 19:31:53 -1000,2020-03-09 09:12:25 -1000,Shasta Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia troglodytes wintu,,,native,kueda,https://www.inaturalist.org/observations/9058337,https://www.inaturalist.org/observations/9058337,https://www.inaturalist.org/listed_taxa/6269935,2015-07-05 19:31:54 -1000,2017-12-06 11:33:58 -1000,Wintu Sideband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Mohavelix,Mohavelix micrometalleus,"Listed in Roth & Sadeghian as Sonorelix micrometalleus, but seems to be known more broadly as Mohavelix micrometalleus. See http://explorer.natureserve.org/servlet/NatureServe?searchName=Mohavelix+micrometalleus",,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269937,2015-07-05 19:31:55 -1000,2015-07-05 19:31:55 -1000,El Paso Shoulderband
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Sonorelix,Sonorelix avawatzica,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269939,2015-07-05 19:31:55 -1000,2015-07-05 19:31:55 -1000,Avawatz Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Sonorelix,Sonorelix baileyi,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269941,2015-07-05 19:31:56 -1000,2015-07-05 19:31:56 -1000,Resting Spring Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Sonorelix,Sonorelix borregoensis,,,native,kueda,https://www.inaturalist.org/observations/1346254,https://www.inaturalist.org/observations/40756488,https://www.inaturalist.org/listed_taxa/6269943,2015-07-05 19:31:58 -1000,2020-03-29 06:22:52 -1000,Borrego Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Sonorelix,Sonorelix harperi,,,native,kueda,https://www.inaturalist.org/observations/19460558,https://www.inaturalist.org/observations/19460558,https://www.inaturalist.org/listed_taxa/6269945,2015-07-05 19:32:00 -1000,2019-01-08 11:36:04 -1000,Mountain Spring Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Sonorelix,Sonorelix melanopylon,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269948,2015-07-05 19:32:03 -1000,2015-07-05 19:32:03 -1000,Black Rock Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Sonorelix,Sonorelix rixfordi,,,native,kueda,https://www.inaturalist.org/observations/5967945,https://www.inaturalist.org/observations/39935621,https://www.inaturalist.org/listed_taxa/6269950,2015-07-05 19:32:04 -1000,2020-03-18 11:58:07 -1000,Joshua Tree desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta beatula,Santa Catalina Island,,native,kueda,https://www.inaturalist.org/observations/1352761,https://www.inaturalist.org/observations/38226396,https://www.inaturalist.org/listed_taxa/6269953,2015-07-05 19:32:05 -1000,2020-03-16 08:11:47 -1000,Avalon Island Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta facta,Santa Barbara Island,,native,kueda,https://www.inaturalist.org/observations/8746914,https://www.inaturalist.org/observations/37390986,https://www.inaturalist.org/listed_taxa/6269955,2015-07-05 19:32:06 -1000,2020-04-06 12:15:37 -1000,Santa Barbara Island Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta feralis,San Nicolas Island,,native,kueda,https://www.inaturalist.org/observations/7835534,https://www.inaturalist.org/observations/26985057,https://www.inaturalist.org/listed_taxa/6269957,2015-07-05 19:32:07 -1000,2020-03-23 13:00:08 -1000,San Nicolas Island Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta gabbi,San Clemente Island,,native,kueda,https://www.inaturalist.org/observations/7835615,https://www.inaturalist.org/observations/39775141,https://www.inaturalist.org/listed_taxa/6269959,2015-07-05 19:32:07 -1000,2020-04-09 10:14:53 -1000,San Clemente Island Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta intermedia,Santa Barbara Island,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269962,2015-07-05 19:32:13 -1000,2015-07-05 19:32:13 -1000,
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta rufocincta,Santa Catalina Island,,native,kueda,https://www.inaturalist.org/observations/1830808,https://www.inaturalist.org/observations/34340493,https://www.inaturalist.org/listed_taxa/6269964,2015-07-05 19:32:14 -1000,2019-11-22 06:52:21 -1000,Santa Catalina Island Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Micrarionta,Micrarionta opuntia,San Nicolas Island,,native,kueda,https://www.inaturalist.org/observations/19682106,https://www.inaturalist.org/observations/20262689,https://www.inaturalist.org/listed_taxa/6269966,2015-07-05 19:32:14 -1000,2019-02-10 18:39:11 -1000,Prickly Pear Island Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Chamaearionta,Chamaearionta aquaealbae,,,native,kueda,https://www.inaturalist.org/observations/7923305,https://www.inaturalist.org/observations/19797312,https://www.inaturalist.org/listed_taxa/6269968,2015-07-05 19:32:15 -1000,2019-01-22 12:47:51 -1000,Whitewater Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Herpeteros,Herpeteros angelus,,,native,kueda,,,https://www.inaturalist.org/listed_taxa/6269970,2015-07-05 19:32:16 -1000,2015-07-05 19:32:16 -1000,Soledad Desertsnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Plesarionta,Plesarionta stearnsiana,,,native,kueda,https://www.inaturalist.org/observations/1294068,https://www.inaturalist.org/observations/41267481,https://www.inaturalist.org/listed_taxa/6269972,2015-07-05 19:32:16 -1000,2020-04-04 12:44:09 -1000,Speckled Cactussnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Xerarionta,Xerarionta tryoni,Santa Barbara and San Nicolas Islands,,native,kueda,https://www.inaturalist.org/observations/2082863,https://www.inaturalist.org/observations/37390963,https://www.inaturalist.org/listed_taxa/6269974,2015-07-05 19:32:18 -1000,2020-03-23 05:11:22 -1000,Bicolor Cactus Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Xerarionta,Xerarionta intercisa,San Clemente Island,,native,kueda,https://www.inaturalist.org/observations/4742611,https://www.inaturalist.org/observations/40043113,https://www.inaturalist.org/listed_taxa/6269977,2015-07-05 19:32:19 -1000,2020-04-10 09:53:36 -1000,Plain Cactus Snail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Xerarionta,Xerarionta kellettii,"Santa Catalina Island, but also on the mainland (?)",,native,kueda,https://www.inaturalist.org/observations/1830815,https://www.inaturalist.org/observations/35035047,https://www.inaturalist.org/listed_taxa/6269979,2015-07-05 19:32:20 -1000,2020-04-09 13:06:30 -1000,Catalina Cactussnail
Animalia,Mollusca,Gastropoda,,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Xanthonychidae,Helminthoglyptinae,,Xerarionta,Xerarionta redimita,San Clemente Island,,native,kueda,https://www.inaturalist.org/observations/4885778,https://www.inaturalist.org/observations/39973780,https://www.inaturalist.org/listed_taxa/6269982,2015-07-05 19:32:21 -1000,2020-04-10 09:53:23 -1000,Wreathed Cactussnail
